priority,delay,speed,congestion,weather,time_of_day,passenger_load,fuel_level,platform_available,distance_to_next,track_condition,historical_punctuality,decision
Local,7.3,50.8,1,Cloudy,Non-Peak,26.4,87.5,False,7.9,Maintenance,65.2,Slow Down
Freight,5.1,18.2,1,Foggy,Peak,76.8,72.4,True,0.5,Good,63.5,Slow Down
Local,1.3,58.5,5,Rainy,Non-Peak,64.9,31.5,False,3.0,Damaged,75.8,Stop
Local,42.4,22.5,2,Foggy,Peak,8.8,64.7,False,0.5,Maintenance,80.5,Stop
Express,3.7,59.0,3,Sunny,Non-Peak,56.9,41.9,False,5.2,Maintenance,93.7,Slow Down
Freight,0.2,62.4,3,Rainy,Peak,23.2,52.1,False,4.6,Maintenance,36.8,Slow Down
Local,4.3,40.2,3,Sunny,Peak,65.3,76.4,False,4.2,Good,43.1,Move
Express,6.8,51.2,2,Rainy,Peak,40.7,49.1,True,3.7,Damaged,42.8,Stop
Express,25.8,73.4,5,Cloudy,Peak,43.4,99.4,True,0.9,Maintenance,66.8,Slow Down
Express,11.0,76.3,3,Foggy,Peak,75.9,11.8,False,3.6,Damaged,76.4,Stop
Freight,0.7,62.2,2,Stormy,Peak,93.3,42.6,False,12.6,Maintenance,34.7,Stop
Express,9.2,58.0,4,Sunny,Non-Peak,50.1,80.0,False,2.4,Maintenance,77.6,Slow Down
Freight,2.4,53.8,6,Sunny,Peak,44.8,42.8,False,0.5,Damaged,87.6,Stop
Local,1.6,31.1,2,Sunny,Non-Peak,35.1,20.3,True,3.2,Damaged,73.1,Stop
Express,12.8,50.6,2,Sunny,Non-Peak,79.1,76.8,True,9.8,Damaged,68.5,Stop
Freight,3.5,85.2,5,Foggy,Non-Peak,29.1,68.1,True,1.5,Damaged,76.1,Stop
Local,29.0,51.4,3,Foggy,Peak,19.1,31.7,False,12.3,Good,56.6,Slow Down
Local,4.7,82.3,1,Cloudy,Non-Peak,94.1,46.6,True,11.8,Damaged,34.6,Stop
Local,3.3,47.6,4,Sunny,Peak,31.3,33.3,True,9.3,Good,69.2,Move
Local,3.2,96.5,5,Stormy,Peak,62.1,23.5,True,2.7,Maintenance,91.8,Stop
Freight,14.0,59.6,0,Rainy,Non-Peak,6.0,22.4,True,2.5,Damaged,60.5,Stop
Freight,0.3,41.2,3,Foggy,Peak,34.3,57.0,True,4.3,Damaged,65.3,Stop
Express,9.8,51.2,3,Cloudy,Peak,54.7,19.2,True,4.5,Maintenance,86.4,Slow Down
Express,10.4,67.5,3,Stormy,Peak,22.8,93.4,True,1.9,Good,60.7,Stop
Freight,8.7,71.0,3,Foggy,Non-Peak,70.2,97.7,True,0.5,Damaged,61.6,Stop
Freight,2.8,38.4,7,Stormy,Peak,47.8,67.9,False,5.6,Good,80.2,Stop
Freight,36.8,30.4,3,Stormy,Non-Peak,94.0,42.2,False,4.1,Damaged,44.2,Stop
Freight,19.3,73.7,2,Cloudy,Non-Peak,28.8,38.7,False,0.5,Good,93.9,Stop
Express,12.4,44.4,0,Sunny,Non-Peak,68.6,53.8,False,2.5,Maintenance,81.8,Slow Down
Freight,16.6,82.8,0,Rainy,Non-Peak,69.2,20.5,True,3.3,Good,59.4,Slow Down
Freight,1.6,46.9,3,Foggy,Peak,23.1,16.3,False,0.5,Damaged,91.9,Stop
Freight,13.9,40.2,6,Rainy,Non-Peak,35.0,30.5,False,4.8,Damaged,67.6,Stop
Freight,3.9,68.2,0,Rainy,Peak,72.9,47.3,False,5.9,Maintenance,40.0,Slow Down
Local,10.1,46.0,2,Rainy,Non-Peak,42.4,23.4,True,4.2,Damaged,60.3,Stop
Freight,10.3,37.9,4,Foggy,Non-Peak,47.9,64.8,False,6.6,Maintenance,82.1,Slow Down
Freight,1.2,28.9,1,Stormy,Non-Peak,50.1,28.8,False,10.5,Good,80.1,Stop
Freight,4.7,35.2,4,Stormy,Peak,82.6,83.2,False,11.1,Damaged,44.7,Stop
Express,5.7,56.0,5,Foggy,Non-Peak,9.3,21.2,False,4.8,Good,84.5,Slow Down
Local,11.6,47.2,2,Rainy,Peak,65.7,20.4,True,3.7,Damaged,71.9,Stop
Local,29.8,54.6,2,Foggy,Peak,6.1,34.9,True,0.5,Damaged,92.2,Stop
Express,11.1,66.8,3,Stormy,Peak,29.6,70.1,False,5.5,Maintenance,96.8,Stop
Local,8.1,49.4,3,Sunny,Peak,33.4,29.5,True,10.8,Maintenance,56.5,Slow Down
Local,4.1,59.6,4,Rainy,Peak,60.0,68.0,False,5.6,Damaged,81.0,Stop
Express,17.2,58.0,3,Foggy,Peak,28.6,44.5,False,19.6,Maintenance,80.7,Slow Down
Freight,12.6,50.2,3,Rainy,Peak,85.7,92.5,True,2.1,Good,33.4,Slow Down
Express,30.3,43.6,2,Cloudy,Peak,74.9,87.9,False,6.5,Maintenance,70.4,Slow Down
Express,0.4,73.4,5,Rainy,Non-Peak,26.0,46.7,False,20.0,Good,66.1,Slow Down
Express,14.6,77.9,5,Rainy,Peak,55.1,72.5,False,1.2,Damaged,30.2,Stop
Express,17.5,53.2,1,Stormy,Non-Peak,63.6,58.2,True,11.7,Damaged,78.6,Stop
Freight,26.9,59.5,2,Sunny,Peak,43.2,52.8,True,5.6,Damaged,51.8,Stop
Local,0.5,4.6,2,Stormy,Peak,11.8,80.1,True,9.4,Damaged,46.1,Stop
Local,23.0,84.3,4,Cloudy,Peak,66.8,33.1,True,0.5,Damaged,83.1,Stop
Local,9.8,49.6,3,Stormy,Peak,68.0,64.1,False,2.8,Maintenance,72.2,Stop
Freight,2.5,48.6,2,Cloudy,Peak,19.4,39.8,False,4.1,Maintenance,67.2,Slow Down
Freight,6.1,25.5,3,Rainy,Peak,18.8,79.6,False,8.7,Damaged,74.3,Stop
Local,26.6,71.5,1,Stormy,Non-Peak,71.6,58.8,False,2.7,Maintenance,95.9,Stop
Express,19.0,68.5,2,Rainy,Non-Peak,60.4,23.7,False,3.2,Maintenance,69.1,Slow Down
Freight,34.6,93.7,6,Cloudy,Peak,50.5,27.2,False,4.9,Good,86.7,Slow Down
Freight,4.5,74.0,3,Stormy,Non-Peak,14.7,33.9,True,2.7,Maintenance,74.0,Stop
Express,0.7,0.0,0,Cloudy,Peak,28.0,39.3,False,0.5,Good,87.0,Stop
Freight,16.2,58.6,4,Foggy,Non-Peak,55.4,97.5,True,1.0,Damaged,53.4,Stop
Freight,5.1,60.8,3,Foggy,Peak,28.0,84.7,True,2.9,Good,41.3,Slow Down
Local,5.7,29.7,2,Rainy,Peak,62.3,49.9,False,2.2,Damaged,94.5,Stop
Express,0.3,59.6,2,Sunny,Peak,45.9,73.6,False,2.3,Damaged,55.0,Stop
Freight,24.6,62.8,4,Cloudy,Peak,29.1,69.1,True,3.1,Maintenance,90.3,Slow Down
Freight,21.1,22.4,3,Stormy,Non-Peak,52.1,43.5,False,5.5,Good,58.9,Stop
Express,3.3,50.2,1,Foggy,Non-Peak,52.9,38.8,True,4.1,Maintenance,85.0,Slow Down
Local,0.5,52.5,3,Rainy,Non-Peak,52.3,27.8,False,5.7,Maintenance,68.8,Slow Down
Local,5.5,66.4,4,Rainy,Non-Peak,57.2,39.7,False,8.5,Damaged,90.4,Stop
Freight,1.7,85.0,2,Cloudy,Peak,92.7,25.9,True,8.4,Maintenance,65.0,Slow Down
Local,0.7,28.8,5,Sunny,Non-Peak,24.0,79.4,True,5.2,Good,76.3,Slow Down
Express,9.7,62.2,4,Cloudy,Peak,63.5,30.0,True,1.2,Good,42.8,Slow Down
Freight,5.4,53.6,0,Sunny,Peak,50.1,19.7,False,4.7,Maintenance,78.6,Slow Down
Express,3.2,75.6,1,Cloudy,Non-Peak,44.4,24.1,True,10.3,Damaged,84.7,Stop
Local,1.6,75.3,2,Stormy,Non-Peak,73.0,60.7,True,20.0,Maintenance,92.9,Stop
Express,3.8,58.7,1,Stormy,Non-Peak,12.1,69.3,False,2.0,Damaged,66.9,Stop
Freight,6.1,50.5,0,Cloudy,Non-Peak,81.1,38.2,True,4.7,Good,76.7,Move
Freight,9.3,72.1,2,Cloudy,Peak,21.3,97.5,False,2.7,Damaged,77.7,Stop
Local,12.7,77.5,3,Foggy,Non-Peak,50.4,76.3,False,2.4,Good,53.2,Slow Down
Freight,2.8,62.4,5,Rainy,Peak,69.6,35.6,False,1.7,Good,73.6,Slow Down
Freight,2.6,72.3,2,Stormy,Peak,82.0,89.4,True,0.5,Maintenance,83.4,Stop
Express,1.0,33.7,4,Sunny,Non-Peak,86.0,27.0,True,15.7,Good,70.9,Move
Local,12.5,70.2,3,Sunny,Non-Peak,36.5,99.7,False,4.4,Good,73.2,Move
Express,1.0,105.2,5,Cloudy,Non-Peak,34.7,10.7,True,0.5,Good,48.5,Stop
Freight,23.8,82.6,3,Cloudy,Peak,31.1,57.1,False,1.2,Damaged,82.5,Stop
Express,4.3,77.8,4,Rainy,Non-Peak,32.5,90.7,False,2.0,Maintenance,82.1,Slow Down
Local,4.4,81.2,2,Foggy,Non-Peak,56.0,85.4,False,7.4,Maintenance,53.4,Slow Down
Local,4.5,68.3,1,Cloudy,Peak,39.7,51.9,True,13.4,Damaged,85.0,Stop
Express,8.3,53.2,3,Sunny,Peak,51.3,63.3,False,1.5,Good,68.3,Slow Down
Freight,21.2,19.8,2,Cloudy,Peak,83.9,46.8,True,4.7,Damaged,78.7,Stop
Local,10.6,39.4,0,Stormy,Non-Peak,90.6,80.7,False,5.5,Damaged,60.5,Stop
Local,0.2,51.7,3,Stormy,Peak,22.5,81.2,True,3.1,Good,73.1,Stop
Express,3.4,41.6,2,Rainy,Peak,23.1,85.4,True,1.7,Good,95.0,Slow Down
Express,0.5,89.8,2,Stormy,Peak,24.5,15.6,False,1.4,Good,93.2,Stop
Express,9.6,50.0,2,Rainy,Non-Peak,60.5,42.9,False,20.0,Damaged,66.6,Stop
Freight,0.2,40.5,4,Foggy,Non-Peak,83.3,15.2,True,1.8,Good,72.2,Slow Down
Local,10.2,40.8,4,Stormy,Non-Peak,38.1,89.1,False,4.8,Damaged,59.6,Stop
Freight,13.0,13.2,9,Foggy,Non-Peak,37.7,35.3,False,0.8,Damaged,83.4,Stop
Express,15.6,44.1,3,Cloudy,Peak,60.0,70.9,True,8.4,Damaged,68.5,Stop
Freight,5.4,42.2,2,Rainy,Non-Peak,50.2,67.7,False,1.9,Maintenance,73.7,Slow Down
Local,28.5,63.0,1,Foggy,Peak,58.6,18.9,False,2.2,Damaged,75.6,Stop
Freight,17.1,49.3,2,Rainy,Peak,61.4,48.0,False,0.5,Maintenance,48.1,Stop
Local,0.6,71.5,3,Foggy,Non-Peak,74.6,18.4,True,13.8,Damaged,67.9,Stop
Local,3.2,79.9,5,Rainy,Non-Peak,26.4,78.6,False,0.6,Good,33.6,Stop
Local,12.5,64.4,3,Sunny,Peak,46.8,88.8,False,2.8,Maintenance,91.4,Slow Down
Local,3.5,11.0,2,Rainy,Peak,75.4,75.8,False,5.8,Maintenance,63.8,Slow Down
Express,7.1,60.0,1,Foggy,Non-Peak,78.0,68.0,True,7.3,Damaged,60.2,Stop
Freight,8.0,33.6,3,Sunny,Non-Peak,36.5,28.4,False,2.1,Maintenance,85.3,Slow Down
Express,25.6,72.7,2,Foggy,Non-Peak,84.4,90.0,True,2.0,Damaged,85.7,Stop
Express,10.1,74.6,3,Stormy,Non-Peak,44.6,65.8,False,3.0,Good,43.3,Stop
Freight,10.1,54.5,3,Cloudy,Peak,45.4,93.6,True,3.4,Maintenance,96.8,Slow Down
Express,10.2,107.1,1,Cloudy,Peak,75.9,90.5,True,3.3,Good,27.6,Slow Down
Express,13.5,56.3,2,Stormy,Peak,87.8,90.0,True,9.1,Maintenance,58.2,Stop
Local,32.3,99.2,4,Sunny,Non-Peak,70.3,37.7,True,3.0,Damaged,79.6,Stop
Freight,0.4,92.3,2,Rainy,Peak,8.2,64.6,False,4.1,Damaged,58.2,Stop
Freight,1.1,85.5,1,Rainy,Non-Peak,42.1,50.8,True,2.6,Damaged,56.8,Stop
Freight,22.3,52.8,6,Stormy,Peak,93.6,15.6,True,0.5,Good,66.4,Stop
Local,10.8,42.6,1,Rainy,Non-Peak,70.2,86.4,True,16.7,Good,70.2,Slow Down
Freight,20.7,63.9,6,Sunny,Non-Peak,37.7,41.5,True,6.1,Damaged,52.7,Stop
Local,0.2,53.9,1,Stormy,Peak,70.6,21.9,True,3.4,Maintenance,32.0,Stop
Freight,0.3,65.8,1,Cloudy,Non-Peak,92.7,77.9,True,5.8,Maintenance,91.1,Slow Down
Freight,9.2,52.6,1,Cloudy,Peak,32.9,28.3,False,3.7,Good,71.2,Move
Express,14.6,58.9,0,Sunny,Peak,81.7,45.0,True,0.5,Good,30.5,Slow Down
Freight,0.9,71.1,2,Cloudy,Peak,21.3,46.1,True,0.5,Good,70.7,Slow Down
Express,6.0,34.5,2,Foggy,Non-Peak,27.9,18.1,True,0.7,Damaged,74.1,Stop
Express,14.4,69.3,6,Foggy,Peak,36.5,14.2,True,4.0,Maintenance,85.0,Stop
Express,1.8,24.6,4,Stormy,Non-Peak,46.9,65.5,True,6.3,Maintenance,94.8,Stop
Express,18.9,78.1,3,Cloudy,Non-Peak,69.5,18.3,False,11.6,Good,79.5,Move
Express,5.2,57.5,2,Foggy,Peak,16.1,69.9,True,4.8,Maintenance,74.0,Slow Down
Freight,3.3,69.9,3,Stormy,Non-Peak,48.4,90.2,True,0.7,Maintenance,63.9,Stop
Freight,13.5,47.5,6,Cloudy,Non-Peak,19.6,38.2,False,4.8,Damaged,69.6,Stop
Local,5.9,103.3,1,Stormy,Peak,41.3,68.7,True,3.0,Damaged,94.4,Stop
Freight,8.4,53.1,4,Rainy,Peak,42.1,64.0,False,1.3,Maintenance,65.2,Slow Down
Local,18.0,49.6,1,Foggy,Peak,51.8,79.5,False,0.5,Damaged,36.4,Stop
Local,14.4,50.3,1,Cloudy,Non-Peak,34.8,21.6,True,5.7,Damaged,64.4,Stop
Express,15.9,33.3,2,Foggy,Peak,69.4,97.5,False,2.2,Maintenance,65.0,Slow Down
Express,5.6,70.6,2,Sunny,Peak,22.8,99.0,False,1.8,Good,47.1,Slow Down
Freight,2.8,84.9,7,Cloudy,Non-Peak,42.5,42.6,False,0.6,Damaged,53.9,Stop
Freight,0.1,33.5,2,Cloudy,Peak,88.5,13.6,False,0.5,Damaged,69.8,Stop
Express,4.6,39.9,7,Foggy,Peak,26.6,35.5,True,0.7,Maintenance,96.0,Slow Down
Freight,15.7,104.7,4,Foggy,Non-Peak,60.9,90.5,True,4.1,Good,43.8,Slow Down
Freight,9.4,26.7,4,Foggy,Peak,15.6,55.1,False,9.5,Damaged,62.6,Stop
Express,38.1,35.5,3,Sunny,Non-Peak,43.4,64.6,False,4.4,Damaged,60.8,Stop
Local,0.3,52.2,3,Stormy,Non-Peak,37.7,37.6,False,1.5,Good,92.7,Stop
Freight,2.2,60.2,2,Foggy,Non-Peak,15.9,23.2,False,5.0,Damaged,61.8,Stop
Freight,15.9,12.4,5,Foggy,Peak,98.0,48.8,True,5.9,Damaged,78.6,Stop
Express,2.1,59.6,4,Stormy,Non-Peak,29.0,65.7,False,14.3,Damaged,63.9,Stop
Freight,8.4,33.3,3,Cloudy,Peak,17.3,50.4,True,17.3,Damaged,91.5,Stop
Express,20.0,61.6,3,Foggy,Peak,86.1,75.5,True,0.8,Good,84.9,Slow Down
Local,1.3,72.0,2,Foggy,Peak,65.5,73.0,True,0.5,Maintenance,47.4,Slow Down
Express,7.3,60.3,1,Foggy,Non-Peak,61.2,35.2,False,10.0,Good,56.5,Slow Down
Freight,2.0,28.8,4,Sunny,Peak,64.2,33.1,True,0.5,Good,67.6,Slow Down
Freight,3.3,49.7,6,Foggy,Peak,37.1,62.3,True,3.4,Good,59.9,Slow Down
Express,3.1,39.4,3,Stormy,Peak,30.1,31.0,True,2.0,Good,57.3,Stop
Local,15.7,80.1,2,Cloudy,Non-Peak,67.3,75.3,True,16.2,Maintenance,73.3,Slow Down
Express,1.2,104.6,6,Foggy,Peak,12.3,87.9,False,7.9,Damaged,82.0,Stop
Local,11.0,57.9,4,Stormy,Peak,41.9,94.9,False,12.5,Damaged,56.0,Stop
Freight,2.0,70.7,0,Stormy,Peak,63.7,44.6,True,14.1,Maintenance,88.7,Stop
Express,0.9,67.8,2,Foggy,Peak,88.9,49.1,False,1.1,Maintenance,13.2,Slow Down
Freight,18.1,33.8,7,Stormy,Non-Peak,58.9,61.8,True,7.2,Maintenance,50.7,Stop
Freight,9.9,46.3,4,Cloudy,Peak,54.3,64.5,True,3.1,Damaged,70.4,Stop
Express,0.6,66.7,4,Rainy,Non-Peak,40.6,42.6,False,3.4,Maintenance,52.4,Slow Down
Local,6.5,29.5,0,Sunny,Non-Peak,61.2,17.2,True,0.5,Damaged,61.7,Stop
Express,13.9,86.2,3,Rainy,Non-Peak,32.3,12.6,True,14.3,Good,84.1,Stop
Express,2.6,52.3,3,Foggy,Non-Peak,64.4,76.6,True,0.5,Maintenance,70.1,Slow Down
Freight,5.3,49.7,7,Rainy,Non-Peak,63.4,79.4,True,9.2,Maintenance,69.6,Slow Down
Freight,21.8,81.5,4,Stormy,Non-Peak,7.0,62.9,True,7.1,Maintenance,89.4,Stop
Freight,2.6,59.1,1,Rainy,Peak,49.6,76.8,False,2.0,Damaged,71.3,Stop
Local,10.4,57.2,8,Sunny,Non-Peak,50.3,24.3,True,1.1,Maintenance,66.9,Slow Down
Local,12.2,68.0,2,Sunny,Non-Peak,80.2,12.0,True,11.9,Good,41.1,Stop
Freight,11.2,38.3,3,Rainy,Non-Peak,32.1,90.1,False,1.0,Good,69.0,Stop
Freight,5.9,52.2,2,Stormy,Non-Peak,5.0,58.1,True,1.1,Maintenance,75.3,Stop
Freight,8.0,16.6,5,Foggy,Peak,40.4,43.2,False,0.5,Damaged,76.5,Stop
Freight,10.7,82.4,1,Stormy,Non-Peak,94.7,58.7,False,13.0,Good,72.5,Stop
Express,14.7,72.7,2,Stormy,Non-Peak,10.1,30.8,True,0.5,Good,70.6,Stop
Express,16.8,55.3,3,Foggy,Non-Peak,54.6,19.7,True,2.5,Damaged,84.4,Stop
Local,10.9,37.5,2,Stormy,Non-Peak,52.1,41.4,True,0.5,Maintenance,92.8,Stop
Freight,19.4,54.7,4,Sunny,Peak,35.6,38.4,False,1.7,Maintenance,65.6,Slow Down
Freight,2.4,59.7,3,Sunny,Non-Peak,41.1,43.4,False,8.0,Maintenance,93.7,Slow Down
Freight,1.2,69.8,2,Foggy,Peak,82.5,56.3,False,0.8,Good,89.7,Stop
Freight,2.2,80.5,1,Foggy,Non-Peak,80.4,67.1,True,3.2,Maintenance,85.7,Slow Down
Freight,4.1,75.4,2,Foggy,Peak,24.1,16.4,True,3.8,Maintenance,74.5,Slow Down
Local,7.1,16.9,3,Sunny,Non-Peak,75.2,31.0,True,4.1,Good,83.8,Move
Express,18.4,42.3,5,Cloudy,Peak,57.0,35.6,True,3.6,Damaged,80.6,Stop
Express,5.8,62.2,3,Stormy,Non-Peak,69.7,77.1,False,7.4,Maintenance,96.4,Stop
Freight,9.7,36.2,2,Cloudy,Peak,17.7,31.2,False,12.3,Good,60.8,Move
Express,18.8,78.3,2,Foggy,Non-Peak,5.4,47.4,True,1.4,Good,70.4,Slow Down
Local,7.7,57.7,0,Sunny,Non-Peak,60.5,90.9,True,2.1,Maintenance,74.9,Slow Down
Local,30.9,85.1,1,Foggy,Non-Peak,73.5,83.2,False,3.4,Good,48.5,Slow Down
Express,7.2,74.7,2,Foggy,Peak,72.7,10.8,False,0.5,Good,96.5,Stop
Express,17.1,52.1,4,Cloudy,Non-Peak,75.5,18.7,False,7.5,Damaged,94.6,Stop
Local,3.1,55.7,3,Cloudy,Peak,70.5,66.5,True,2.1,Maintenance,61.5,Slow Down
Local,13.4,70.0,3,Stormy,Peak,23.5,96.7,False,7.4,Maintenance,82.6,Stop
Local,4.8,93.7,1,Rainy,Non-Peak,41.4,38.9,True,6.8,Damaged,77.5,Stop
Freight,2.9,73.5,2,Rainy,Non-Peak,6.0,78.1,False,0.5,Good,56.9,Stop
Freight,7.1,52.0,0,Rainy,Peak,45.8,76.7,False,6.1,Damaged,40.1,Stop
Express,10.1,94.7,2,Foggy,Non-Peak,31.9,79.8,False,3.3,Damaged,55.6,Stop
Local,0.0,67.2,1,Foggy,Peak,36.2,87.8,True,0.5,Good,87.6,Slow Down
Express,3.3,46.8,7,Foggy,Peak,55.0,98.8,True,2.0,Damaged,78.8,Stop
Freight,15.1,45.0,0,Cloudy,Non-Peak,48.3,70.4,False,4.3,Damaged,79.2,Stop
Local,12.5,64.5,4,Foggy,Non-Peak,50.1,27.3,False,1.7,Damaged,48.1,Stop
Express,5.8,57.8,3,Foggy,Non-Peak,57.2,12.7,False,3.4,Maintenance,69.7,Stop
Freight,10.3,52.4,6,Rainy,Non-Peak,42.0,21.2,False,3.5,Good,89.3,Slow Down
Local,21.6,60.2,0,Rainy,Non-Peak,77.5,23.7,False,5.8,Maintenance,60.2,Slow Down
Express,1.7,31.6,7,Cloudy,Peak,58.6,96.7,False,2.0,Damaged,89.0,Stop
Freight,2.3,35.3,2,Sunny,Peak,48.0,31.5,False,8.4,Maintenance,74.9,Slow Down
Freight,10.3,85.4,4,Foggy,Non-Peak,41.1,94.0,False,4.0,Good,69.6,Slow Down
Express,0.2,59.1,3,Cloudy,Peak,47.5,46.0,False,5.5,Damaged,59.8,Stop
Freight,44.7,60.5,3,Stormy,Peak,71.8,88.8,False,13.6,Damaged,68.2,Stop
Local,9.8,31.1,1,Stormy,Peak,80.3,88.9,False,0.5,Damaged,71.2,Stop
Express,1.5,78.0,5,Stormy,Peak,13.9,38.4,True,4.6,Maintenance,20.8,Stop
Express,1.9,46.1,2,Rainy,Peak,49.1,28.2,False,6.6,Good,46.2,Slow Down
Express,1.0,53.8,1,Stormy,Non-Peak,49.5,14.5,False,4.5,Good,57.7,Stop
Freight,18.4,31.2,7,Cloudy,Non-Peak,33.3,40.9,False,12.3,Maintenance,74.9,Slow Down
Local,3.5,15.1,4,Sunny,Non-Peak,73.9,57.5,False,6.5,Good,89.2,Move
Freight,23.4,59.9,4,Stormy,Non-Peak,31.8,15.7,False,5.1,Maintenance,67.8,Stop
Express,22.8,47.2,2,Rainy,Non-Peak,70.7,14.2,False,1.1,Good,89.5,Stop
Local,1.7,76.2,2,Foggy,Non-Peak,52.4,81.8,True,9.6,Damaged,87.4,Stop
Express,24.4,82.0,3,Stormy,Non-Peak,88.8,32.9,False,16.1,Maintenance,66.7,Stop
Express,7.3,69.9,2,Sunny,Peak,84.9,10.9,True,4.8,Damaged,65.9,Stop
Local,5.4,72.6,2,Cloudy,Peak,20.9,30.5,False,15.8,Good,84.0,Move
Freight,10.0,36.6,3,Cloudy,Peak,72.1,29.5,True,1.7,Damaged,83.7,Stop
Local,0.6,78.1,2,Stormy,Peak,27.8,36.0,False,1.0,Good,44.6,Stop
Local,6.9,70.7,2,Cloudy,Non-Peak,25.2,95.8,True,4.9,Good,91.9,Move
Freight,4.2,103.8,7,Foggy,Peak,34.1,95.6,True,5.5,Maintenance,73.0,Slow Down
Local,26.2,43.5,4,Rainy,Non-Peak,86.4,88.5,True,0.7,Maintenance,34.5,Slow Down
Express,7.1,87.5,1,Sunny,Peak,43.3,49.5,False,8.2,Maintenance,74.4,Slow Down
Express,7.4,19.2,3,Cloudy,Non-Peak,90.9,57.2,True,4.5,Good,50.9,Move
Freight,18.6,40.6,3,Cloudy,Peak,35.1,85.8,False,8.5,Good,49.0,Move
Express,18.1,52.7,2,Stormy,Peak,32.5,87.5,True,6.7,Damaged,74.2,Stop
Express,15.9,69.6,2,Stormy,Non-Peak,23.5,40.5,False,0.5,Good,78.8,Stop
Freight,27.3,67.1,5,Foggy,Peak,70.1,92.6,True,16.4,Maintenance,52.8,Slow Down
Freight,0.3,66.8,4,Sunny,Non-Peak,61.1,46.6,False,5.5,Damaged,63.2,Stop
Express,0.0,57.0,3,Foggy,Non-Peak,76.5,48.5,False,1.8,Maintenance,63.5,Slow Down
Express,2.6,86.3,4,Sunny,Peak,25.4,78.5,False,2.0,Damaged,92.6,Stop
Express,4.4,66.3,1,Rainy,Non-Peak,72.7,39.1,False,2.1,Damaged,82.7,Stop
Freight,5.5,79.2,1,Rainy,Peak,46.2,31.0,False,1.3,Good,66.3,Slow Down
Freight,9.6,45.5,2,Sunny,Non-Peak,31.2,13.3,True,4.6,Maintenance,35.2,Stop
Local,2.6,88.6,6,Stormy,Peak,46.3,65.2,False,3.7,Maintenance,63.8,Stop
Freight,9.0,37.5,3,Stormy,Non-Peak,70.4,24.0,False,3.1,Damaged,70.7,Stop
Freight,3.4,75.7,3,Cloudy,Non-Peak,46.5,56.6,True,0.5,Good,91.6,Slow Down
Express,9.6,42.5,3,Cloudy,Non-Peak,66.1,70.0,True,0.5,Good,87.6,Slow Down
Freight,13.4,45.3,2,Cloudy,Non-Peak,28.9,91.5,False,0.8,Maintenance,80.6,Stop
Local,23.7,53.5,4,Rainy,Non-Peak,43.4,89.6,False,5.7,Damaged,52.7,Stop
Freight,1.4,69.1,3,Foggy,Peak,16.6,24.5,True,2.1,Good,80.9,Slow Down
Local,7.0,87.7,0,Foggy,Non-Peak,54.6,58.3,False,0.5,Damaged,45.7,Stop
Express,4.0,58.0,3,Sunny,Peak,67.6,94.4,False,8.1,Good,40.8,Move
Local,8.1,55.0,6,Sunny,Non-Peak,27.4,14.4,False,6.8,Damaged,85.9,Stop
Local,4.3,61.2,1,Cloudy,Non-Peak,34.1,16.4,False,0.5,Damaged,75.9,Stop
Express,6.5,47.8,2,Foggy,Peak,66.4,28.1,False,7.0,Damaged,94.5,Stop
Freight,0.8,43.1,2,Stormy,Non-Peak,53.7,99.2,True,0.5,Damaged,73.2,Stop
Freight,1.1,65.7,3,Rainy,Non-Peak,85.4,70.1,False,1.6,Good,57.0,Slow Down
Local,14.8,66.1,2,Sunny,Non-Peak,29.0,66.5,True,0.5,Maintenance,45.2,Slow Down
Express,10.4,86.6,2,Rainy,Peak,57.3,83.2,False,5.9,Damaged,65.4,Stop
Local,3.6,45.6,3,Sunny,Peak,18.5,95.7,False,1.9,Maintenance,51.0,Slow Down
Freight,11.9,54.7,3,Cloudy,Peak,14.6,15.1,True,0.5,Damaged,47.8,Stop
Express,0.0,40.5,3,Foggy,Peak,31.1,35.3,False,2.2,Damaged,84.6,Stop
Express,13.4,76.8,3,Foggy,Peak,22.3,31.0,False,4.8,Damaged,94.4,Stop
Local,3.9,63.9,1,Cloudy,Peak,32.4,66.8,True,5.0,Maintenance,58.2,Slow Down
Local,2.1,57.4,4,Cloudy,Peak,49.0,38.2,True,6.5,Maintenance,65.5,Slow Down
Local,20.5,28.0,0,Rainy,Peak,69.1,61.9,True,1.8,Damaged,82.0,Stop
Local,3.3,73.4,3,Stormy,Peak,82.0,82.3,True,3.4,Damaged,69.7,Stop
Freight,0.1,52.9,4,Cloudy,Non-Peak,27.1,10.4,True,0.5,Damaged,73.0,Stop
Express,3.7,73.4,3,Sunny,Peak,41.3,99.4,False,0.5,Good,79.3,Stop
Express,43.9,108.4,3,Rainy,Peak,30.6,77.4,False,1.9,Maintenance,54.7,Slow Down
Express,37.9,77.5,2,Cloudy,Peak,82.1,35.6,False,1.1,Damaged,84.4,Stop
Express,0.2,55.2,4,Rainy,Non-Peak,38.8,92.0,True,8.8,Maintenance,68.4,Slow Down
Express,36.3,42.2,4,Stormy,Peak,84.0,31.6,True,9.3,Damaged,76.8,Stop
Local,4.3,58.0,3,Rainy,Non-Peak,20.6,95.5,False,5.0,Damaged,89.9,Stop
Express,3.0,34.3,3,Cloudy,Non-Peak,3.9,56.3,True,2.1,Damaged,71.4,Stop
